"","rowname","variable","value","valid_n","aggregation_type","xi","yi","group","disa","count","key","code","rank","variable_label","rowname_label","yi_lab","xi_lab"
"1","badakhshan_host","0",73.7,510,"percentage","disability_prop","strata","badakhshan_host"," ",376,"disability_prop/badakhshan_host","1",1,NA,NA,"strata","disability_prop"
"2","badakhshan_host","1",24.5,510,"percentage","disability_prop","strata","badakhshan_host"," ",125,"disability_prop/badakhshan_host","1",2,NA,NA,"strata","disability_prop"
"3","badakhshan_host","2",1.6,510,"percentage","disability_prop","strata","badakhshan_host"," ",8,"disability_prop/badakhshan_host","1",3,NA,NA,"strata","disability_prop"
"4","badakhshan_host","3+",0.2,510,"percentage","disability_prop","strata","badakhshan_host"," ",1,"disability_prop/badakhshan_host","1",4,NA,NA,"strata","disability_prop"
"5","badakhshan_idps","0",74.7,576,"percentage","disability_prop","strata","badakhshan_idps"," ",430,"disability_prop/badakhshan_idps","2",1,NA,NA,"strata","disability_prop"
"6","badakhshan_idps","1",24.7,576,"percentage","disability_prop","strata","badakhshan_idps"," ",142,"disability_prop/badakhshan_idps","2",2,NA,NA,"strata","disability_prop"
"7","badakhshan_idps","2",0.7,576,"percentage","disability_prop","strata","badakhshan_idps"," ",4,"disability_prop/badakhshan_idps","2",3,NA,NA,"strata","disability_prop"
"8","badakhshan_idps","3+",0,576,"percentage","disability_prop","strata","badakhshan_idps"," ",0,"disability_prop/badakhshan_idps","2",4,NA,NA,"strata","disability_prop"
"9","herat_host","0",77,574,"percentage","disability_prop","strata","herat_host"," ",442,"disability_prop/herat_host","3",1,NA,NA,"strata","disability_prop"
"10","herat_host","1",20.4,574,"percentage","disability_prop","strata","herat_host"," ",117,"disability_prop/herat_host","3",2,NA,NA,"strata","disability_prop"
"11","herat_host","2",2.1,574,"percentage","disability_prop","strata","herat_host"," ",12,"disability_prop/herat_host","3",3,NA,NA,"strata","disability_prop"
"12","herat_host","3+",0.5,574,"percentage","disability_prop","strata","herat_host"," ",3,"disability_prop/herat_host","3",4,NA,NA,"strata","disability_prop"
"13","herat_idps","0",68,621,"percentage","disability_prop","strata","herat_idps"," ",422,"disability_prop/herat_idps","4",1,NA,NA,"strata","disability_prop"
"14","herat_idps","1",27.4,621,"percentage","disability_prop","strata","herat_idps"," ",170,"disability_prop/herat_idps","4",2,NA,NA,"strata","disability_prop"
"15","herat_idps","2",4.2,621,"percentage","disability_prop","strata","herat_idps"," ",26,"disability_prop/herat_idps","4",3,NA,NA,"strata","disability_prop"
"16","herat_idps","3+",0.5,621,"percentage","disability_prop","strata","herat_idps"," ",3,"disability_prop/herat_idps","4",4,NA,NA,"strata","disability_prop"
"17","herat_natural_disaster_affected","0",70.8,480,"percentage","disability_prop","strata","herat_natural_disaster_affected"," ",340,"disability_prop/herat_natural_disaster_affected","5",1,NA,NA,"strata","disability_prop"
