"","rowname","variable","value","valid_n","aggregation_type","xi","yi","group","disa","count","key","code","rank","variable_label","rowname_label","yi_lab","xi_lab"
"1","all","badakhshan",6.4,5475,"percentage","province","No_disagregation","all"," ",350,"province/all","1",4,"Badakhshan",NA,"No_disagregation",NA
"2","all","herat",62.6,5475,"percentage","province","No_disagregation","all"," ",3427,"province/all","1",1,"Herat",NA,"No_disagregation",NA
"3","all","jawzjan",12.9,5475,"percentage","province","No_disagregation","all"," ",706,"province/all","1",3,"Jawzjan",NA,"No_disagregation",NA
"4","all","kandahar",18.1,5475,"percentage","province","No_disagregation","all"," ",991,"province/all","1",2,"Kandahar",NA,"No_disagregation",NA
"5","all","no",32.9,5475,"percentage","area_origin","No_disagregation","all"," ",1801,"area_origin/all","1",2,"No",NA,"No_disagregation","Is the current location of the household (where the interview is taking place), the area of origin of the majority of the household members?"
"6","all","yes",67.1,5475,"percentage","area_origin","No_disagregation","all"," ",3674,"area_origin/all","1",1,"Yes",NA,"No_disagregation","Is the current location of the household (where the interview is taking place), the area of origin of the majority of the household members?"
"7","all","no",99.3,3135,"percentage","damage","No_disagregation","all"," ",3113,"damage/all","1",1,"No",NA,"No_disagregation","Has your household been damaged or severely damaged by natural disaster since the start of 2019?"
"8","all","yes",0.7,3135,"percentage","damage","No_disagregation","all"," ",22,"damage/all","1",2,"Yes",NA,"No_disagregation","Has your household been damaged or severely damaged by natural disaster since the start of 2019?"
"9","all","host",66.6,5475,"percentage","displacement_status","No_disagregation","all"," ",3646,"displacement_status/all","1",1,NA,NA,"No_disagregation","displacement_status"
"10","all","idps",32.9,5475,"percentage","displacement_status","No_disagregation","all"," ",1801,"displacement_status/all","1",2,NA,NA,"No_disagregation","displacement_status"
"11","all","natural_disaster_affected",0.4,5475,"percentage","displacement_status","No_disagregation","all"," ",22,"displacement_status/all","1",3,NA,NA,"No_disagregation","displacement_status"
"12","all","female",27.1,5475,"percentage","resp_gender","No_disagregation","all"," ",1484,"resp_gender/all","1",2,"Female",NA,"No_disagregation","Gender of respondent"
"13","all","male",72.9,5475,"percentage","resp_gender","No_disagregation","all"," ",3991,"resp_gender/all","1",1,"Male",NA,"No_disagregation","Gender of respondent"
"14","all","resp_age",42.92,5475,"average","resp_age","No_disagregation","all"," ",NA,"resp_age/all","1",1,NA,NA,"No_disagregation","How old are you?"
"15","all","no",22,5475,"percentage","resp_hoh","No_disagregation","all"," ",1204,"resp_hoh/all","1",2,"No",NA,"No_disagregation","Are you the head of household?"
"16","all","yes",78,5475,"percentage","resp_hoh","No_disagregation","all"," ",4270,"resp_hoh/all","1",1,"Yes",NA,"No_disagregation","Are you the head of household?"
"17","all","female",3,1606,"percentage","hoh_gender","No_disagregation","all"," ",48,"hoh_gender/all","1",2,"Female",NA,"No_disagregation","What is the gender of the head of household?"
"18","all","male",97,1606,"percentage","hoh_gender","No_disagregation","all"," ",1558,"hoh_gender/all","1",1,"Male",NA,"No_disagregation","What is the gender of the head of household?"
"19","all","no",92.1,5475,"percentage","female_hhh","No_disagregation","all"," ",5042,"female_hhh/all","1",1,NA,NA,"No_disagregation","female_hhh"
"20","all","yes",7.9,5475,"percentage","female_hhh","No_disagregation","all"," ",433,"female_hhh/all","1",2,NA,NA,"No_disagregation","female_hhh"
"21","all","hoh_age",45.63,1606,"average","hoh_age","No_disagregation","all"," ",NA,"hoh_age/all","1",1,NA,NA,"No_disagregation","What is the age of the head of household?"
"22","all","no",90.9,5475,"percentage","elderly_hhh","No_disagregation","all"," ",4977,"elderly_hhh/all","1",1,NA,NA,"No_disagregation","elderly_hhh"
"23","all","yes",9.1,5475,"percentage","elderly_hhh","No_disagregation","all"," ",498,"elderly_hhh/all","1",2,NA,NA,"No_disagregation","elderly_hhh"
"24","all","divorced",0.2,5475,"percentage","hoh_marital","No_disagregation","all"," ",11,"hoh_marital/all","1",6,"Divorced",NA,"No_disagregation","What is the marital status of the head of household?"
"25","all","married",91.6,5475,"percentage","hoh_marital","No_disagregation","all"," ",5015,"hoh_marital/all","1",1,"Married",NA,"No_disagregation","What is the marital status of the head of household?"
"26","all","married_afg",0.5,5475,"percentage","hoh_marital","No_disagregation","all"," ",27,"hoh_marital/all","1",4,"Married, but spouse living elsewhere in Afghanistan",NA,"No_disagregation","What is the marital status of the head of household?"
"27","all","married_diff_country",0.4,5475,"percentage","hoh_marital","No_disagregation","all"," ",22,"hoh_marital/all","1",5,"Married, but spouse living in a different country",NA,"No_disagregation","What is the marital status of the head of household?"
"28","all","prefer_not",0,5475,"percentage","hoh_marital","No_disagregation","all"," ",0,"hoh_marital/all","1",7,"Prefer not to answer",NA,"No_disagregation","What is the marital status of the head of household?"
"29","all","single",1.5,5475,"percentage","hoh_marital","No_disagregation","all"," ",82,"hoh_marital/all","1",3,"Single",NA,"No_disagregation","What is the marital status of the head of household?"
"30","all","widowed",5.8,5475,"percentage","hoh_marital","No_disagregation","all"," ",318,"hoh_marital/all","1",2,"Widowed",NA,"No_disagregation","What is the marital status of the head of household?"
"31","all","1",0,5475,"percentage","hh_size_prop","No_disagregation","all"," ",0,"hh_size_prop/all","1",10,NA,NA,"No_disagregation","hh_size_prop"
"32","all","10+",20.4,5475,"percentage","hh_size_prop","No_disagregation","all"," ",1117,"hh_size_prop/all","1",1,NA,NA,"No_disagregation","hh_size_prop"
"33","all","2",1.4,5475,"percentage","hh_size_prop","No_disagregation","all"," ",77,"hh_size_prop/all","1",9,NA,NA,"No_disagregation","hh_size_prop"
"34","all","3",5.2,5475,"percentage","hh_size_prop","No_disagregation","all"," ",285,"hh_size_prop/all","1",8,NA,NA,"No_disagregation","hh_size_prop"
"35","all","4",11.3,5475,"percentage","hh_size_prop","No_disagregation","all"," ",619,"hh_size_prop/all","1",5,NA,NA,"No_disagregation","hh_size_prop"
"36","all","5",15.7,5475,"percentage","hh_size_prop","No_disagregation","all"," ",860,"hh_size_prop/all","1",2,NA,NA,"No_disagregation","hh_size_prop"
"37","all","6",14.8,5475,"percentage","hh_size_prop","No_disagregation","all"," ",810,"hh_size_prop/all","1",3,NA,NA,"No_disagregation","hh_size_prop"
"38","all","7",12.1,5475,"percentage","hh_size_prop","No_disagregation","all"," ",662,"hh_size_prop/all","1",4,NA,NA,"No_disagregation","hh_size_prop"
