"","rowname","variable","value","valid_n","aggregation_type","xi","yi","group","disa","count","key","code","rank","variable_label","rowname_label","yi_lab","xi_lab"
"1","badakhshan_idps","clashes",6.1,576,"percentage","displace_push","strata","badakhshan_idps"," ",35,"displace_push/badakhshan_idps","1",4,"Clashes among AGEs/AoGs",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"2","badakhshan_idps","conflict",38.5,576,"percentage","displace_push","strata","badakhshan_idps"," ",222,"displace_push/badakhshan_idps","1",2,"Armed conflict / military operation",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"3","badakhshan_idps","disaster",40.1,576,"percentage","displace_push","strata","badakhshan_idps"," ",231,"displace_push/badakhshan_idps","1",1,"Natural disaster",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"4","badakhshan_idps","employment",4.2,576,"percentage","displace_push","strata","badakhshan_idps"," ",24,"displace_push/badakhshan_idps","1",5,"No work opportunities",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"5","badakhshan_idps","harassment_government",0.2,576,"percentage","displace_push","strata","badakhshan_idps"," ",1,"displace_push/badakhshan_idps","1",7,"Intimidation and harassment by government",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"6","badakhshan_idps","harassment_groups",9.2,576,"percentage","displace_push","strata","badakhshan_idps"," ",53,"displace_push/badakhshan_idps","1",3,"Intimidation and harassment  by AGEs/AoGs",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"7","badakhshan_idps","kidnapping",0.2,576,"percentage","displace_push","strata","badakhshan_idps"," ",1,"displace_push/badakhshan_idps","1",8,"Kidnapping /abduction",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"8","badakhshan_idps","land_dispute",0.2,576,"percentage","displace_push","strata","badakhshan_idps"," ",1,"displace_push/badakhshan_idps","1",9,"Land dispute/land occupation",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"9","badakhshan_idps","other",0.2,576,"percentage","displace_push","strata","badakhshan_idps"," ",1,"displace_push/badakhshan_idps","1",10,"Other",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"10","badakhshan_idps","rocket_shelling",0,576,"percentage","displace_push","strata","badakhshan_idps"," ",0,"displace_push/badakhshan_idps","1",11,"Cross-border rocket shelling",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"11","badakhshan_idps","tribal_fighting",1.2,576,"percentage","displace_push","strata","badakhshan_idps"," ",7,"displace_push/badakhshan_idps","1",6,"Inter-tribal or factional fighting",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"12","herat_idps","clashes",6,621,"percentage","displace_push","strata","herat_idps"," ",37,"displace_push/herat_idps","2",4,"Clashes among AGEs/AoGs",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"13","herat_idps","conflict",59.1,621,"percentage","displace_push","strata","herat_idps"," ",367,"displace_push/herat_idps","2",1,"Armed conflict / military operation",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"14","herat_idps","disaster",17.7,621,"percentage","displace_push","strata","herat_idps"," ",110,"displace_push/herat_idps","2",2,"Natural disaster",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"15","herat_idps","employment",9.3,621,"percentage","displace_push","strata","herat_idps"," ",58,"displace_push/herat_idps","2",3,"No work opportunities",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"16","herat_idps","harassment_government",0,621,"percentage","displace_push","strata","herat_idps"," ",0,"displace_push/herat_idps","2",8,"Intimidation and harassment by government",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"17","herat_idps","harassment_groups",4,621,"percentage","displace_push","strata","herat_idps"," ",25,"displace_push/herat_idps","2",5,"Intimidation and harassment  by AGEs/AoGs",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"18","herat_idps","kidnapping",0,621,"percentage","displace_push","strata","herat_idps"," ",0,"displace_push/herat_idps","2",9,"Kidnapping /abduction",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"19","herat_idps","land_dispute",1.1,621,"percentage","displace_push","strata","herat_idps"," ",7,"displace_push/herat_idps","2",7,"Land dispute/land occupation",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"20","herat_idps","other",0,621,"percentage","displace_push","strata","herat_idps"," ",0,"displace_push/herat_idps","2",10,"Other",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"21","herat_idps","rocket_shelling",0,621,"percentage","displace_push","strata","herat_idps"," ",0,"displace_push/herat_idps","2",11,"Cross-border rocket shelling",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"22","herat_idps","tribal_fighting",2.7,621,"percentage","displace_push","strata","herat_idps"," ",17,"displace_push/herat_idps","2",6,"Inter-tribal or factional fighting",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"23","jawzjan_idps","clashes",32.4,590,"percentage","displace_push","strata","jawzjan_idps"," ",191,"displace_push/jawzjan_idps","3",2,"Clashes among AGEs/AoGs",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"24","jawzjan_idps","conflict",45.6,590,"percentage","displace_push","strata","jawzjan_idps"," ",269,"displace_push/jawzjan_idps","3",1,"Armed conflict / military operation",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"25","jawzjan_idps","disaster",14.1,590,"percentage","displace_push","strata","jawzjan_idps"," ",83,"displace_push/jawzjan_idps","3",3,"Natural disaster",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"26","jawzjan_idps","employment",1,590,"percentage","displace_push","strata","jawzjan_idps"," ",6,"displace_push/jawzjan_idps","3",7,"No work opportunities",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"27","jawzjan_idps","harassment_government",0,590,"percentage","displace_push","strata","jawzjan_idps"," ",0,"displace_push/jawzjan_idps","3",10,"Intimidation and harassment by government",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"28","jawzjan_idps","harassment_groups",2.5,590,"percentage","displace_push","strata","jawzjan_idps"," ",15,"displace_push/jawzjan_idps","3",4,"Intimidation and harassment  by AGEs/AoGs",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"29","jawzjan_idps","kidnapping",0.3,590,"percentage","displace_push","strata","jawzjan_idps"," ",2,"displace_push/jawzjan_idps","3",9,"Kidnapping /abduction",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"30","jawzjan_idps","land_dispute",2.4,590,"percentage","displace_push","strata","jawzjan_idps"," ",14,"displace_push/jawzjan_idps","3",5,"Land dispute/land occupation",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"31","jawzjan_idps","other",0.5,590,"percentage","displace_push","strata","jawzjan_idps"," ",3,"displace_push/jawzjan_idps","3",8,"Other",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
"32","jawzjan_idps","rocket_shelling",0,590,"percentage","displace_push","strata","jawzjan_idps"," ",0,"displace_push/jawzjan_idps","3",11,"Cross-border rocket shelling",NA,"strata","What was the main reason why your household chose to leave your area of origin?"
