"","rowname","variable","value","valid_n","aggregation_type","xi","yi","group","disa","count","key","code","rank","variable_label","rowname_label","yi_lab","xi_lab"
"1","female","no",8.4,631,"percentage","resp_hoh","hoh_gender_final","female"," ",53,"resp_hoh/female","1",2,"No",NA,"hoh_gender_final","Are you the head of household?"
"2","female","yes",91.6,631,"percentage","resp_hoh","hoh_gender_final","female"," ",578,"resp_hoh/female","1",1,"Yes",NA,"hoh_gender_final","Are you the head of household?"
"3","male","no",23.1,4844,"percentage","resp_hoh","hoh_gender_final","male"," ",1119,"resp_hoh/male","2",2,"No",NA,"hoh_gender_final","Are you the head of household?"
"4","male","yes",76.9,4844,"percentage","resp_hoh","hoh_gender_final","male"," ",3725,"resp_hoh/male","2",1,"Yes",NA,"hoh_gender_final","Are you the head of household?"
"5","female","all",31.3,631,"percentage","tazkera","hoh_gender_final","female"," ",198,"tazkera/female","1",1,"All adult household members (aged 18 +)",NA,"hoh_gender_final","Which adults in your household have a tazkera?"
"6","female","dont_know",0,631,"percentage","tazkera","hoh_gender_final","female"," ",0,"tazkera/female","1",5,"Do not know",NA,"hoh_gender_final","Which adults in your household have a tazkera?"
"7","female","hoh_only",30.3,631,"percentage","tazkera","hoh_gender_final","female"," ",191,"tazkera/female","1",2,"Only head of household",NA,"hoh_gender_final","Which adults in your household have a tazkera?"
"8","female","none",9.8,631,"percentage","tazkera","hoh_gender_final","female"," ",62,"tazkera/female","1",4,"No adults in household have a Tazkera",NA,"hoh_gender_final","Which adults in your household have a tazkera?"
"9","female","some",28.7,631,"percentage","tazkera","hoh_gender_final","female"," ",181,"tazkera/female","1",3,"Some adult household members (aged 18+)",NA,"hoh_gender_final","Which adults in your household have a tazkera?"
"10","male","all",40.3,4844,"percentage","tazkera","hoh_gender_final","male"," ",1952,"tazkera/male","2",1,"All adult household members (aged 18 +)",NA,"hoh_gender_final","Which adults in your household have a tazkera?"
"11","male","dont_know",0,4844,"percentage","tazkera","hoh_gender_final","male"," ",0,"tazkera/male","2",5,"Do not know",NA,"hoh_gender_final","Which adults in your household have a tazkera?"
"12","male","hoh_only",32.4,4844,"percentage","tazkera","hoh_gender_final","male"," ",1569,"tazkera/male","2",2,"Only head of household",NA,"hoh_gender_final","Which adults in your household have a tazkera?"
"13","male","none",1.1,4844,"percentage","tazkera","hoh_gender_final","male"," ",53,"tazkera/male","2",4,"No adults in household have a Tazkera",NA,"hoh_gender_final","Which adults in your household have a tazkera?"
"14","male","some",26.1,4844,"percentage","tazkera","hoh_gender_final","male"," ",1264,"tazkera/male","2",3,"Some adult household members (aged 18+)",NA,"hoh_gender_final","Which adults in your household have a tazkera?"
"15","female","income",4818.84,603,"average","income","hoh_gender_final","female"," ",NA,"income/female","1",1,NA,NA,"hoh_gender_final","What was the total cash income from all breadwinners for your household in the last 30 days (in AFN)?"
"16","male","income",5350.98,4729,"average","income","hoh_gender_final","male"," ",NA,"income/male","2",1,NA,NA,"hoh_gender_final","What was the total cash income from all breadwinners for your household in the last 30 days (in AFN)?"
"17","female","work",93.4,587,"percentage","cash_flow","hoh_gender_final","female"," ",548,"cash_flow/female","1",1,"Income through work/labour",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"18","female","loans",13.8,587,"percentage","cash_flow","hoh_gender_final","female"," ",81,"cash_flow/female","1",2,"Borrow money / take on debt",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"19","female","remittances",2.5,587,"percentage","cash_flow","hoh_gender_final","female"," ",15,"cash_flow/female","1",4,"Remittances/gifts",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"20","female","sell_assets",2.6,587,"percentage","cash_flow","hoh_gender_final","female"," ",15,"cash_flow/female","1",3,"Selling personal belongings",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"21","female","humanitarian_aid",0.5,587,"percentage","cash_flow","hoh_gender_final","female"," ",3,"cash_flow/female","1",6,"Humanitarian aid (cash distribution)",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
