"level","income_mean","income_median","income_q25","income_q75","income_min","income_max"
"Overall",5309.62248299946,5000,3000,7000,0,30000
"badakhshan",4803.27882307218,4000,2000,6000,0,30000
"herat",4788.63899659937,4500,3000,6000,0,20000
"jawzjan",5812.69642237107,5000,3755.59430958028,7300,0,20000
"kandahar",6955.15092716552,6000,4832.4269408492,8500,500,20000
"host",5647.35355048258,5000,3600,7000,0,30000
"idps",4602.83344945021,4000,3000,6000,0,20000
"natural_disaster_affected",6582.30703293179,6000,4000,8000,0,20000
"badakhshan_host",4898.28343313373,4000,2000,6000,0,30000
"badakhshan_idps",4412.38938053097,4000,2000,6000,0,20000
"herat_host",5111.42348754448,5000,3500,6000,0,20000
"herat_idps",4116.39072847682,4000,2500,5000,0,20000
"herat_natural_disaster_affected",3516.27906976744,3000,2000,5000,0,12000
"jawzjan_host",6460.95890410959,6000,4000,8000,0,20000
"jawzjan_idps",5208.15972222222,5000,3000,6500,200,20000
"kandahar_host",7303.13653136531,6500,5000,9000,600,20000
"kandahar_idps",5937.03846153846,5500,4000,7000,1000,19000
"kandahar_natural_disaster_affected",7152.09205020921,6500,5000,9000,500,20000
"badakhshan_host_female",3134.48275862069,3000,1000,4250,0,15000
"badakhshan_host_male",5129.20993227991,5000,2500,6000,0,30000
"badakhshan_idps_female",3081.42857142857,3000,1100,5000,0,10000
"badakhshan_idps_male",4600.60606060606,4000,2000,6000,0,20000
"herat_host_female",4409.52380952381,3500,2850,6000,300,10000
"herat_host_male",5138.66913123845,5000,3500,6000,0,20000
"herat_idps_female",3470.58823529412,3000,3000,4000,1000,6000
"herat_idps_male",4135.0936967632,4000,2500,5000,0,20000
"herat_natural_disaster_affected_female",2879.10447761194,3000,1500,3625,100,11000
"herat_natural_disaster_affected_male",3621.42857142857,3000,2500,5000,0,12000
"jawzjan_host_female",4407.14285714286,3000,2000,5000,1000,14000
"jawzjan_host_male",6644.88272921109,6000,4000,8500,0,20000
"jawzjan_idps_female",3869.86301369863,3750,3000,5000,1500,9500
"jawzjan_idps_male",5402.38568588469,5000,3950,7000,200,20000
"kandahar_host_female",6050.44247787611,5000,4000,7000,1200,20000
"kandahar_host_male",7633.10023310023,7000,5000,9000,600,20000
"kandahar_idps_female",5254.11764705882,5000,3000,6375,1000,15000
"kandahar_idps_male",6070.48275862069,5500,4000,7500,1000,19000
"kandahar_natural_disaster_affected_female",6552.63157894737,6000,4625,8875,500,17000
"kandahar_natural_disaster_affected_male",7233.2541567696,6500,5000,9000,1000,20000
